행정구역,인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
대구광역시 수성구 범어3동(2726053000),"16,326","16,326","1,959","2,016","2,088","2,099","3,228","2,575","1,276",721,314,48,2
대구광역시 수성구 범어4동(2726054000),"19,806","19,806","1,685","4,451","1,884","1,367","4,951","2,840","1,366",843,370,48,1
대구광역시 수성구 만촌1동(2726055000),"23,048","23,048","1,807","2,491","2,931","2,349","3,650","4,078","3,017","1,748",871,104,2
대구광역시 수성구 만촌2동(2726056000),"11,310","11,310",516,"1,148","1,866","1,170","1,680","2,080","1,535",831,441,42,1
대구광역시 수성구 만촌3동(2726056100),"20,202","20,202","1,381","3,940","2,467","1,392","4,500","3,397","1,643","1,000",425,56,1
대구광역시 수성구 수성1가동(2726057000),"18,447","18,447","1,255","2,207","2,188","1,574","3,160","3,190","2,270","1,648",848,106,1
대구광역시 수성구 수성2.3가동(2726058000),"12,096","12,096","1,081","1,729","1,250","1,132","2,408","1,827","1,406",866,359,38,0
대구광역시 수성구 수성4가동(2726059000),"15,031","15,031",853,"1,446","2,106","1,451","2,167","2,920","2,122","1,235",648,83,0
대구광역시 수성구 황금1동(2726060100),"24,196","24,196","2,114","4,145","2,684","1,981","4,826","4,175","2,421","1,170",587,88,5
대구광역시 수성구 황금2동(2726060200),"11,013","11,013",532,859,"1,770","1,321","1,746","1,889","1,499",952,396,49,0
대구광역시 수성구 중동(2726061000),"11,094","11,094",726,733,"1,443","1,492","1,776","1,893","1,595",936,437,62,1
대구광역시 수성구 상동(2726062000),"16,756","16,756","1,028","1,329","2,087","2,010","2,449","2,865","2,668","1,507",703,110,0
대구광역시 수성구 파동(2726063000),"12,669","12,669",976,993,"1,242","1,471","1,886","2,028","2,124","1,308",554,85,2
대구광역시 수성구 두산동(2726064000),"14,053","14,053",904,"1,157","2,165","1,840","2,276","2,700","1,780",826,345,58,2
대구광역시 수성구 지산1동(2726065100),"22,334","22,334",980,"1,876","3,287","2,245","3,110","4,157","3,496","2,067",969,144,3
대구광역시 수성구 지산2동(2726065200),"19,007","19,007","1,097","1,849","2,522","1,906","2,807","3,562","2,915","1,443",817,89,0
대구광역시 수성구 범물1동(2726066100),"11,562","11,562",349,667,"1,342",930,"1,272","2,169","2,413","1,533",776,110,1
대구광역시 수성구 범물2동(2726066200),"17,244","17,244","1,308","1,939","2,101","1,793","2,874","3,108","2,546","1,056",448,69,2
대구광역시 수성구 고산1동(2726067000),"31,402","31,402","2,257","4,713","4,324","2,802","5,632","5,828","3,381","1,529",826,107,3
대구광역시 수성구 고산2동(2726068000),"27,590","27,590","2,021","3,211","3,872","2,911","4,493","5,023","3,424","1,662",853,117,3
대구광역시 수성구 고산3동(2726069000),"33,909","33,909","2,481","4,223","4,796","3,398","5,616","6,720","3,682","1,792","1,073",125,3
대구광역시 달서구 (2729000000),"553,297","553,297","39,458","54,648","78,225","65,396","88,123","102,548","73,916","34,367","14,843","1,741",32
대구광역시 달서구 성당동(2729051500),"23,794","23,794","1,625","2,033","2,874","2,779","3,553","4,154","3,820","2,067",808,77,4
대구광역시 달서구 두류1.2동(2729053500),"14,399","14,399",566,713,"2,334","1,851","1,771","2,503","2,475","1,510",622,52,2
대구광역시 달서구 두류3동(2729055000),"8,434","8,434",380,567,"1,263",942,"1,125","1,476","1,379",864,401,37,0
대구광역시 달서구 감삼동(2729055500),"27,306","27,306","2,058","2,300","4,167","3,713","4,049","5,102","3,702","1,582",567,66,0
대구광역시 달서구 죽전동(2729056300),"13,812","13,812",619,963,"2,309","1,709","1,920","2,756","2,169",941,387,39,0
대구광역시 달서구 장기동(2729056800),"17,494","17,494","1,323","1,660","2,476","2,229","2,750","3,359","2,252","1,033",366,45,1
